,DATE,Genco,TYPE,Generated,Installed_Capacity,Capacity_Utilization
199,2025-05-10,PARAS ENERGY,GAS,,96.0,109.2751736111111
200,2025-05-10,SHIRORO,HYDRO,,600.0,45.657291666666666
201,2025-05-10,TRANS AFAM POWER,,,1074.0,7.546166977032899
202,2025-05-10,TRANS-AMADI,GAS,,136.0,6.047794117647059
203,2025-05-10,ZUNGERU,,,700.0,40.40476190476191
204,2025-05-11,AFAM VI,GAS/STEAM,,776.0,31.3036941580756
205,2025-05-11,AZURA-EDO IPP,GAS,,461.0,84.54446854663775
206,2025-05-11,DADINKOWA G.S,HYDRO,,,
207,2025-05-11,DELTA,GAS,,,
208,2025-05-11,EGBIN,STEAM,,1320.0,58.47853535353536
209,2025-05-11,GEREGU,GAS,,434.0,50.00960061443932
210,2025-05-11,GEREGU NIPP,GAS,,,
211,2025-05-11,IHOVBOR NIPP,GAS,,451.0,2.97579453067258
212,2025-05-11,JEBBA,HYDRO,,578.0,62.26211072664359
213,2025-05-11,KAINJI,HYDRO,,760.0,51.5734649122807
214,2025-05-11,ODUKPANI NIPP,GAS,,,
215,2025-05-11,OKPAI,GAS/STEAM,,480.0,56.91840277777778
216,2025-05-11,OLORUNSOGO,GAS,,676.0,20.79203648915188
217,2025-05-11,OLORUNSOGO NIPP,GAS,,,
218,2025-05-11,OMOKU,GAS,,225.0,18.622222222222224
219,2025-05-11,OMOTOSHO,GAS,,451.0,33.15225424981523
220,2025-05-11,PARAS ENERGY,GAS,,96.0,111.57118055555554
221,2025-05-11,SAPELE,STEAM,,1020.0,1.0604575163398693
222,2025-05-11,SHIRORO,HYDRO,,600.0,45.48444444444444
223,2025-05-11,TRANS AFAM POWER,,,1074.0,6.87189633767846
224,2025-05-11,TRANS-AMADI,GAS,,136.0,5.05514705882353
225,2025-05-11,ZUNGERU,,,900.0,44.85648148148148
226,2025-05-12,AFAM VI,GAS/STEAM,,776.0,34.149484536082475
227,2025-05-12,AZURA-EDO IPP,GAS,,461.0,84.91503976861895
228,2025-05-12,DADINKOWA G.S,HYDRO,,,
229,2025-05-12,DELTA,GAS,,,
230,2025-05-12,EGBIN,STEAM,,1320.0,58.20075757575758
231,2025-05-12,GEREGU,GAS,,434.0,76.77611367127496
232,2025-05-12,GEREGU NIPP,GAS,,,
233,2025-05-12,GPAL,GAS,,900.0,1.2092129629629629
234,2025-05-12,IHOVBOR NIPP,GAS,,451.0,7.529563932002957
235,2025-05-12,JEBBA,HYDRO,,578.0,66.4071510957324
236,2025-05-12,KAINJI,HYDRO,,760.0,52.38486842105263
237,2025-05-12,ODUKPANI NIPP,GAS,,,
238,2025-05-12,OKPAI,GAS/STEAM,,480.0,55.32118055555556
239,2025-05-12,OLORUNSOGO,GAS,,676.0,21.470044378698223
240,2025-05-12,OMOKU,GAS,,225.0,7.901851851851852
241,2025-05-12,OMOTOSHO,GAS,,451.0,32.72357723577235
242,2025-05-12,PARAS ENERGY,GAS,,96.0,109.45746527777776
243,2025-05-12,SAPELE,STEAM,,1020.0,1.7352941176470589
244,2025-05-12,SHIRORO,HYDRO,,600.0,44.73409722222223
245,2025-05-12,TRANS AFAM POWER,,,1074.0,7.72074798261949
246,2025-05-12,TRANS-AMADI,GAS,,136.0,2.686887254901961
247,2025-05-12,ZUNGERU,,,700.0,59.0654761904762
